@relation tweeters

@attribute firstperson	numeric
@attribute secondperson	numeric
@attribute thirdperson	numeric
@attribute conjunctions	numeric
@attribute pasttense	numeric
@attribute futuretense	numeric
@attribute commas	numeric
@attribute colonssemis	numeric
@attribute dashes	numeric
@attribute parentheses	numeric
@attribute ellipses	numeric
@attribute commonnouns	numeric
@attribute propernouns	numeric
@attribute averbs	numeric
@attribute wh-words	numeric
@attribute modernslang	numeric
@attribute all-caps	numeric
@attribute avg-sent-len	numeric
@attribute avg-token-len	numeric
@attribute sentencecount	numeric
@attribute class	{KimKardashian,katyperry}

@data
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 1, 4.500, 3.667, 2, KimKardashian
0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 1, 1, 0, 0, 4, 5.667, 5.529, 3, KimKardashian
2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 1, 1, 0, 2, 5.400, 3.519, 5, KimKardashian
1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 7, 5, 1, 0, 0, 2, 13.000, 4.423, 2, KimKardashian
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 4, 2, 1, 0, 0, 0, 18.000, 3.611, 1, KimKardashian
2, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 5, 1, 2, 1, 1, 4, 15.500, 3.613, 2, KimKardashian
1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4.000, 3.250, 2, KimKardashian
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 1, 0, 0, 12.000, 5.167, 1, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 0, 0, 1, 1, 20.000, 4.500, 1, KimKardashian
1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 10, 0, 1, 1, 1, 2, 6.750, 4.259, 4, KimKardashian
3, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 6, 1, 2, 1, 2, 3, 9.667, 3.552, 3, KimKardashian
1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 10, 1, 2, 0, 0, 5, 9.333, 3.607, 3, KimKardashian
0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 13, 3, 2, 0, 0, 16, 8.250, 3.303, 4, KimKardashian
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0, 0, 3, 6.000, 3.444, 3, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 3.000, 5.833, 2, KimKardashian
2, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 5, 2, 1, 0, 0, 2, 8.000, 3.208, 3, KimKardashian
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 9.000, 3.333, 1, KimKardashian
0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 13.000, 4.846, 1, KimKardashian
0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 2, 0, 5.000, 3.467, 3, KimKardashian
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 3, 2, 0, 0, 0, 6.000, 4.611, 3, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 20, 20.000, 5.000, 1, KimKardashian
0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 5, 1, 2, 0, 0, 3, 18.000, 3.944, 1, KimKardashian
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5.500, 5.000, 2, KimKardashian
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 4, 1, 0, 1, 0, 4, 13.000, 4.077, 1, KimKardashian
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 3.500, 4.857, 2, KimKardashian
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 2, 0, 0, 0, 7.333, 4.045, 3, KimKardashian
3, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 12, 0, 2, 0, 1, 6, 10.000, 3.700, 3, KimKardashian
1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 1, 8.500, 3.706, 2, KimKardashian
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 12, 1, 1, 0, 0, 5, 4.167, 4.080, 6, KimKardashian
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 2, 0, 0, 0, 2, 5.333, 5.375, 3, KimKardashian
1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 10, 2, 0, 0, 0, 3, 15.000, 3.867, 2, KimKardashian
0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 4, 2, 0, 0, 0, 4, 13.500, 3.778, 2, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 6.000, 6.000, 1, KimKardashian
1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 9, 0, 3, 0, 1, 3, 10.000, 3.500, 3, KimKardashian
2, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 2, 3, 6.667, 4.250, 3, KimKardashian
1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 3, 0, 1, 2, 6.333, 4.316, 3, KimKardashian
3, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2, 3, 0, 0, 4, 10.333, 3.548, 3, KimKardashian
