@relation tweeters

@attribute firstperson	numeric
@attribute secondperson	numeric
@attribute thirdperson	numeric
@attribute conjunctions	numeric
@attribute pasttense	numeric
@attribute futuretense	numeric
@attribute commas	numeric
@attribute colonssemis	numeric
@attribute dashes	numeric
@attribute parentheses	numeric
@attribute ellipses	numeric
@attribute commonnouns	numeric
@attribute propernouns	numeric
@attribute averbs	numeric
@attribute wh-words	numeric
@attribute modernslang	numeric
@attribute all-caps	numeric
@attribute avg-sent-len	numeric
@attribute avg-token-len	numeric
@attribute sentencecount	numeric
@attribute class	{pop,news}

@data
2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 3, 1, 3, 0, 0, 2, 9.500, 4.647, 2, pop
0, 3, 0, 2, 1, 0, 0, 3, 1, 0, 0, 13, 3, 1, 0, 3, 1, 11.667, 3.964, 3, pop
2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 7, 0, 1, 0, 0, 1, 8.333, 4.182, 3, pop
2, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 4, 4, 2, 0, 1, 0, 10.000, 4.240, 3, pop
1, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 5, 0, 1, 0, 1, 0, 9.500, 4.071, 2, pop
2, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 7, 0, 0, 0, 0, 0, 6.250, 4.238, 4, pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 4.000, 5.125, 2, pop
2, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 7, 6, 1, 0, 0, 5, 5.500, 3.444, 6, pop
0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 6, 4, 0, 0, 0, 0, 22.000, 4.842, 1, pop
2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 3, 1, 2, 0, 0, 0, 12.000, 3.333, 2, pop
2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 3, 1, 0, 0, 0, 8.000, 3.905, 3, pop
2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 2, 1, 0, 0, 1, 6.000, 3.867, 3, pop
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 3, 2, 2, 0, 0, 0, 8.000, 4.043, 3, pop
0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 7, 7, 1, 0, 0, 2, 7.000, 4.043, 4, pop
0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 12, 3, 1, 0, 2, 3, 7.667, 4.105, 3, pop
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 3.000, 6.500, 2, pop
0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 10, 3, 3, 0, 1, 1, 7.250, 4.739, 4, pop
0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 3, 4, 0, 0, 0, 0, 13.000, 5.000, 1, pop
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 1, 0, 0, 0, 0, 6.667, 4.444, 3, pop
1, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 7, 1, 2, 0, 0, 1, 9.000, 4.000, 3, pop
1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 5.750, 5.684, 4, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 4, 3.500, 5.667, 2, pop
1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 7, 2, 0, 1, 1, 1, 10.000, 4.111, 3, pop
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 6, 2, 1, 0, 0, 0, 11.000, 4.842, 2, pop
1, 2, 0, 0, 2, 0, 1, 0, 1, 0, 1, 6, 3, 3, 0, 1, 0, 8.250, 3.893, 4, pop
1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 5.000, 4.875, 2, pop
0, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 7, 2, 4, 0, 0, 7, 6.750, 4.174, 4, pop
2, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 4, 3, 1, 0, 0, 1, 7.750, 3.852, 4, pop
2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 5, 3, 3, 0, 1, 1, 14.500, 3.654, 2, pop
0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 4, 3, 2, 1, 0, 1, 10.500, 3.882, 2, pop
0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 11, 2, 3, 0, 3, 1, 5.750, 4.650, 4, pop
1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 4, 3, 3, 1, 0, 0, 7.000, 4.412, 3, pop
2, 1, 0, 1, 1, 1, 0, 0, 0, 2, 0, 6, 0, 0, 0, 0, 1, 8.333, 4.190, 3, pop
0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 6, 6, 0, 0, 0, 0, 29.000, 3.640, 1, pop
2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 0, 0, 0, 1, 6.667, 4.778, 3, pop
1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 2, 3.000, 4.857, 3, pop
0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 4, 6, 0, 0, 0, 0, 3.800, 5.000, 5, pop
0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 3, 4, 0, 0, 0, 0, 13.000, 4.444, 1, pop
4, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 1, 0, 14.500, 3.037, 2, pop
1, 3, 0, 0, 1, 0, 0, 0, 2, 0, 0, 11, 2, 1, 0, 1, 1, 6.400, 4.000, 5, pop
3, 0, 0, 1, 0, 0, 0, 1, 7, 0, 2, 6, 1, 4, 1, 0, 0, 37.000, 3.172, 1, pop
4, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 4, 2, 2, 0, 0, 2, 11.333, 3.433, 3, pop
0, 1, 1, 2, 2, 0, 0, 1, 1, 0, 0, 8, 2, 1, 0, 0, 2, 11.000, 5.333, 2, pop
1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 4, 2, 1, 0, 0, 1, 12.500, 3.409, 2, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 5.000, 5.250, 1, pop
1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 7, 1, 1, 1, 0, 0, 26.000, 4.091, 1, pop
1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 5, 1, 3, 0, 1, 1, 13.500, 3.727, 2, pop
0, 4, 0, 1, 1, 0, 0, 2, 1, 0, 0, 7, 2, 1, 1, 0, 8, 5.600, 4.350, 5, pop
0, 0, 1, 0, 0, 0, 2, 1, 2, 0, 0, 4, 7, 1, 0, 0, 0, 13.500, 4.227, 2, pop
1, 1, 1, 1, 3, 0, 1, 1, 1, 1, 0, 7, 1, 2, 0, 1, 4, 13.500, 4.682, 2, pop
1, 2, 0, 3, 1, 0, 0, 3, 1, 0, 0, 14, 3, 2, 0, 1, 4, 9.250, 3.759, 4, pop
2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 8, 1, 5, 0, 1, 0, 8.667, 4.522, 3, pop
1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 5, 0, 2, 1, 1, 0, 9.000, 5.400, 2, pop
1, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 5, 1, 1, 0, 0, 0, 13.000, 3.913, 2, pop
1, 3, 0, 0, 3, 0, 1, 1, 1, 0, 0, 7, 1, 5, 0, 1, 1, 29.000, 3.923, 1, pop
2, 3, 0, 1, 1, 0, 0, 1, 1, 0, 1, 8, 1, 3, 1, 2, 2, 8.500, 4.074, 4, pop
1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 11.500, 4.450, 2, pop
0, 2, 3, 0, 3, 0, 1, 0, 1, 0, 0, 3, 2, 2, 1, 0, 0, 10.000, 4.000, 3, pop
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 5, 1, 0, 0, 0, 1, 5.500, 5.545, 2, pop
0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 3, 4, 0, 0, 0, 0, 13.000, 5.222, 1, pop
3, 2, 0, 0, 3, 0, 0, 2, 1, 1, 0, 7, 1, 1, 0, 1, 1, 11.000, 4.000, 3, pop
1, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 2, 0, 0, 0, 6.667, 4.375, 3, pop
0, 0, 0, 2, 0, 0, 2, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 11.000, 5.625, 1, pop
2, 0, 0, 0, 3, 0, 1, 0, 1, 0, 1, 6, 2, 2, 0, 0, 2, 11.500, 4.050, 2, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 5.000, 2.750, 1, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 6.000, 3.800, 2, pop
0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 3, 4, 1, 1, 0, 1, 11.000, 4.167, 2, pop
0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 0, 0, 1, 0, 0, 6.000, 5.000, 2, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3, 5, 1, 1, 0, 0, 11.500, 4.632, 2, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 0, 3.667, 3.889, 3, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 5.000, 2.750, 1, pop
1, 4, 0, 0, 1, 0, 1, 2, 1, 1, 0, 4, 2, 3, 0, 1, 1, 10.333, 3.958, 3, pop
1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 5.000, 4.250, 2, pop
0, 1, 1, 1, 0, 1, 0, 0, 2, 0, 0, 4, 3, 1, 0, 0, 2, 12.500, 4.136, 2, pop
0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 5, 1, 2, 0, 0, 1, 9.500, 3.941, 2, pop
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 1, 8.000, 6.143, 1, pop
0, 4, 0, 1, 2, 0, 0, 0, 1, 0, 0, 7, 4, 0, 0, 3, 2, 10.000, 4.074, 3, pop
1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 6, 3, 2, 0, 0, 1, 12.500, 4.870, 2, pop
1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 7, 0, 1, 0, 0, 12.500, 3.957, 2, pop
0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 4.667, 4.091, 3, pop
1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 8, 1, 0, 0, 0, 0, 12.500, 4.273, 2, pop
1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 1, 0, 0, 0, 5.750, 4.632, 4, pop
0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 5, 2, 0, 0, 0, 0, 13.000, 4.667, 1, pop
1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 5, 0, 0, 0, 0, 0, 20.000, 4.118, 1, pop
0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 4, 1, 1, 0, 0, 0, 5.667, 4.462, 3, pop
1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 6, 1, 0, 1, 0, 1, 7.500, 4.923, 2, pop
0, 0, 0, 1, 1, 0, 5, 0, 1, 0, 0, 4, 9, 2, 0, 0, 0, 13.500, 5.250, 2, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 5, 5, 0, 0, 0, 0, 24.000, 3.478, 1, pop
1, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 12.500, 5.000, 2, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 2, 0, 0, 1, 0, 3.500, 4.000, 2, pop
5, 0, 1, 1, 0, 0, 0, 0, 7, 0, 1, 11, 1, 0, 0, 0, 2, 16.500, 3.667, 2, pop
